SCORE_ID,TRANSACTION_ID,USER_ID,ZSCORE_FLAG,VELOCITY_FLAG,CATEGORY_RISK_SCORE,GEOGRAPHIC_RISK_SCORE,ISOLATION_FOREST_SCORE,COMBINED_RISK_SCORE,RISK_LEVEL,RECOMMENDATION,SCORED_AT
46f24a08-bd6,0D57D2DD85EF,USER_001,0.0,0.0,0.9,0.5,0.8545255993510394,0.4236,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-20T01:52:03.986267
bc27aa9e-14d,5493A9436604,USER_001,0.0,0.0,0.9,0.5,0.6803723234775343,0.3801,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-20T01:52:03.986267
79135572-57f,7C9A2201670C,USER_001,0.7845,0.0,0.2,0.2,0.7188609297193802,0.4358,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-20T01:52:03.986267
495b82a4-5c7,EB6DB280CEA3,USER_001,0.0,0.0,0.4,0.5,0.47719959176966364,0.2543,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-20T01:52:03.986267
9f9f6c10-073,41637D58EC93,USER_001,0.0,0.0,0.4,0.5,0.6907742181190988,0.3077,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-20T01:52:03.986267
3062b405-725,1897902CEEB3,USER_001,0.0,0.0,0.4,0.5,0.5165852734207564,0.2641,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-20T01:52:03.986267
5837e12b-38a,54A91639728B,USER_001,0.0,0.0,0.9,0.5,0.6532065835079411,0.3733,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-20T01:52:03.986267
2b33dc56-bed,70A21E7A683F,USER_001,0.0,0.0,0.9,0.5,0.601702505879406,0.3604,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-20T01:52:03.986267
19fca3ef-5f4,6760A2D6169A,USER_001,0.0,0.0,0.4,0.5,0.6402426299479212,0.2951,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-20T01:52:03.986267
eaa72f13-c7d,F2FF9F1B1956,USER_001,0.0,0.0,0.9,0.5,0.6207227202330472,0.3652,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-20T01:52:03.986267
4c206b1c-ad2,7D1A36130382,USER_001,0.0,0.0,0.9,0.5,0.545554251201939,0.3464,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-20T01:52:03.986267
ce3a6f99-484,EE2D84D86BAA,USER_001,0.0,0.0,0.9,0.5,0.7191648372447221,0.3898,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-20T01:52:03.986267
cc8b0b43-384,9CA56DA9FEA6,USER_001,0.5625,0.0,0.4,0.2,0.508329370508659,0.3577,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-20T01:52:03.986267
94ed71a9-2b0,CD44654080DA,USER_001,0.0,0.0,0.4,0.5,0.40720180400066575,0.2368,LOW,Allow transaction. Standard monitoring.,2026-02-20T01:52:03.986267
d9fd158c-aff,45F53A931041,USER_001,0.0,0.0,0.9,0.2,0.4346206323427184,0.2737,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-20T01:52:03.986267
615865d9-2d8,CF8FFD21CDD4,USER_001,0.0,0.2,0.4,0.2,0.6002838238413728,0.2801,MEDIUM,Allow with enhanced monitoring. Send user notification.,2026-02-20T01:52:03.986267
