TRANSACTION_ID,USER_ID,AMOUNT,CATEGORY,LOCATION,TRANSACTION_DATE
2CAC74C12D10,USER_009,77.79,Electronics,"Chicago, IL",2026-01-01T00:04:44
0D57D2DD85EF,USER_001,45.66,Jewelry,"Seattle, WA",2026-01-01T00:19:29
C8234885C5D7,USER_009,246.08,Electronics,"Boston, MA",2026-01-01T00:42:54
09C2E902A27A,USER_010,225.44,Gas Stations,"Houston, TX",2026-01-01T01:00:22
9E90AA2D233A,USER_002,135.57,Gas Stations,"Dallas, TX",2026-01-01T01:34:12
4235602A39D9,USER_004,117.8,Clothing,"Boston, MA",2026-01-01T01:59:58
86B24D5E3A8B,USER_008,305.39,Coffee Shops,"Atlanta, GA",2026-01-01T02:12:51
598C336BDDCC,USER_009,332.01,Jewelry,"Dallas, TX",2026-01-01T02:42:08
909FFEFFCD81,USER_003,289.62,Coffee Shops,"Denver, CO",2026-01-01T03:43:21
A2BBB17F5AE0,USER_008,146.05,Gas Stations,"Miami, FL",2026-01-01T03:57:30
3370F2342262,USER_009,107.56,Electronics,"Los Angeles, CA",2026-01-01T04:23:54
4D51FE7F2789,USER_009,122.61,Clothing,"Denver, CO",2026-01-01T05:36:11
B888B2B0011B,USER_004,60.18,Retail,"Seattle, WA",2026-01-01T06:52:40
5493A9436604,USER_001,102.95,Jewelry,"Miami, FL",2026-01-01T08:24:15
54782BB008DB,USER_006,266.15,Restaurants,"Miami, FL",2026-01-01T08:44:13
AFFABD495D5A,USER_006,162.79,Restaurants,"Miami, FL",2026-01-01T08:48:26
13A9F4EC1C11,USER_008,115.19,Jewelry,"Miami, FL",2026-01-01T09:29:33
7C9A2201670C,USER_001,303.36,Restaurants,"Houston, TX",2026-01-01T09:46:19
C44D5E6F94A7,USER_007,94.34,Grocery,"Houston, TX",2026-01-01T10:24:19
FDA893D2619E,USER_008,149.96,Gas Stations,"Atlanta, GA",2026-01-01T10:55:29
B053AA3454EA,USER_002,164.07,Coffee Shops,"Seattle, WA",2026-01-01T10:58:39
9A4EEAA24FAE,USER_008,125.69,Coffee Shops,"San Francisco, CA",2026-01-01T11:26:56
BA029F6F79E5,USER_006,37.53,Retail,"Chicago, IL",2026-01-01T11:49:26
E4F25CE887FA,USER_005,134.79,Gas Stations,"Dallas, TX",2026-01-01T11:50:14
459120482453,USER_005,463.75,Gas Stations,"Chicago, IL",2026-01-01T11:56:55
711F7BCD5917,USER_007,309.77,Grocery,"Houston, TX",2026-01-01T12:51:26
C93259521CCF,USER_002,149.72,Coffee Shops,"Dallas, TX",2026-01-01T13:05:18
7421944C17FA,USER_006,241.39,Grocery,"Miami, FL",2026-01-01T13:13:01
792C16F4D5FC,USER_004,121.89,Jewelry,"Seattle, WA",2026-01-01T13:41:43
D3014F3CF926,USER_005,231.67,Electronics,"Seattle, WA",2026-01-01T14:55:44
9BA4D1C44C3B,USER_009,46.07,Coffee Shops,"Chicago, IL",2026-01-01T15:04:03
86B9B7D4C756,USER_006,158.09,Grocery,"Miami, FL",2026-01-01T15:39:44
07A443C882A8,USER_008,399.25,Gas Stations,"San Francisco, CA",2026-01-01T15:52:13
4531E41925A6,USER_007,394.02,Gas Stations,"Houston, TX",2026-01-01T16:51:06
EB6DB280CEA3,USER_001,28.5,Clothing,"Phoenix, AZ",2026-01-01T16:59:51
98B21D195B40,USER_010,109.54,Jewelry,"San Francisco, CA",2026-01-01T17:27:51
A5C8EA2FF81F,USER_002,121.79,Electronics,"Dallas, TX",2026-01-01T17:35:26
98228A8B6A4B,USER_007,634.09,Grocery,"Atlanta, GA",2026-01-01T18:03:52
52E897FE32A8,USER_009,128.36,Electronics,"Boston, MA",2026-01-01T18:26:30
A94D4440F2DF,USER_007,389.23,Jewelry,"Chicago, IL",2026-01-01T19:03:45
75224CD6B16C,USER_009,184.49,Coffee Shops,"Chicago, IL",2026-01-01T19:11:54
434AC99838FA,USER_010,177.91,Gas Stations,"New York, NY",2026-01-01T21:52:03
32F833D86F18,USER_006,102.95,Electronics,"Houston, TX",2026-01-01T23:02:43
2EF6BA2A96CB,USER_004,243.82,Jewelry,"Seattle, WA",2026-01-01T23:34:32
B2DA6F7CC52A,USER_002,76.81,Coffee Shops,"Seattle, WA",2026-01-02T00:44:21
7395B6E85592,USER_006,134.62,Retail,"San Francisco, CA",2026-01-02T01:54:01
4A7069E05B68,USER_005,105.35,Gas Stations,"Dallas, TX",2026-01-02T03:27:31
21E04CCBF035,USER_008,149.24,Jewelry,"Miami, FL",2026-01-02T04:34:27
F01CED794AEC,USER_009,177.01,Clothing,"Los Angeles, CA",2026-01-02T04:35:21
7461ADCA4784,USER_002,44.59,Grocery,"Boston, MA",2026-01-02T04:42:41
6E4068A3F476,USER_010,156.93,Gas Stations,"New York, NY",2026-01-02T04:56:57
8F903FC87CDD,USER_005,130.46,Gas Stations,"Seattle, WA",2026-01-02T04:57:29
818AC8D6441A,USER_008,82.65,Grocery,"San Francisco, CA",2026-01-02T05:13:52
B4D40F9871D7,USER_004,216.6,Clothing,"Seattle, WA",2026-01-02T06:07:52
27D565D8E130,USER_006,120.87,Retail,"Miami, FL",2026-01-02T06:28:23
6A99032DFE0B,USER_002,159.95,Electronics,"Seattle, WA",2026-01-02T06:32:29
1B46F9147697,USER_010,231.86,Grocery,"Boston, MA",2026-01-02T06:44:57
7F2D24D7FB64,USER_003,866.61,Coffee Shops,"Phoenix, AZ",2026-01-02T07:05:09
AA7A1240A514,USER_008,188.04,Gas Stations,"San Francisco, CA",2026-01-02T09:56:51
9ACC9FE16E16,USER_005,273.11,Clothing,"Chicago, IL",2026-01-02T10:44:00
EA78EB6DBAF6,USER_010,100.9,Coffee Shops,"New York, NY",2026-01-02T10:48:37
7A63377D2615,USER_005,121.47,Clothing,"Chicago, IL",2026-01-02T10:52:12
0CBB3C0BE1BC,USER_002,333.97,Coffee Shops,"New York, NY",2026-01-02T11:12:18
13F449EB8AB1,USER_010,337.02,Gas Stations,"San Francisco, CA",2026-01-02T11:39:43
289113E02D02,USER_005,87.76,Gas Stations,"Chicago, IL",2026-01-02T12:13:29
766EE2C908CA,USER_005,103.33,Clothing,"Dallas, TX",2026-01-02T12:53:27
211E3C53F81A,USER_010,83.94,Gas Stations,"New York, NY",2026-01-02T14:55:17
961BD290C192,USER_009,165.82,Clothing,"Denver, CO",2026-01-02T16:14:34
